text,sentiment
I hate this experience.,0
Poor quality.,0
Incredible experience.,1
Broken on arrival.,0
I love this item!,1
One star.,0
Five stars!,1
I love this performance!,1
I hate this quality.,0
Worst performance ever.,0
Poor quality.,0
Worst purchase ever.,0
Poor quality.,0
Does not work.,0
Broken on arrival.,0
Best interface ever.,1
Do not buy this app.,0
Great purchase.,1
Five stars!,1
One star.,0
Worst quality ever.,0
Works perfectly.,1
One star.,0
Great item.,1
Excellent quality.,1
Does not work.,0
Waste of money.,0
Worst service ever.,0
Poor quality.,0
I hate this support.,0
Poor quality.,0
So happy with the interface.,1
Worst performance ever.,0
One star.,0
Waste of money.,0
Poor quality.,0
Broken on arrival.,0
I love this service!,1
The purchase is terrible.,0
Poor quality.,0
The purchase is amazing.,1
Very disappointed with the purchase.,0
Broken on arrival.,0
Best performance ever.,1
Waste of money.,0
The performance is amazing.,1
One star.,0
Waste of money.,0
Does not work.,0
Excellent quality.,1
One star.,0
Broken on arrival.,0
So happy with the performance.,1
Great service.,1
I hate this interface.,0
Very disappointed with the quality.,0
Best purchase ever.,1
I love this item!,1
So happy with the interface.,1
Do not buy this performance.,0
Excellent quality.,1
Broken on arrival.,0
I hate this support.,0
Works perfectly.,1
Works perfectly.,1
So happy with the item.,1
Does not work.,0
Best support ever.,1
I love this support!,1
Five stars!,1
Waste of money.,0
Great interface.,1
Excellent quality.,1
Poor quality.,0
Poor quality.,0
I hate this interface.,0
Worst interface ever.,0
Very disappointed with the quality.,0
Waste of money.,0
Do not buy this quality.,0
Waste of money.,0
The service is amazing.,1
Highly recommend this interface.,1
I hate this service.,0
Works perfectly.,1
Do not buy this item.,0
Very disappointed with the experience.,0
Worst app ever.,0
I hate this interface.,0
Best product ever.,1
Highly recommend this product.,1
Poor quality.,0
Broken on arrival.,0
I hate this item.,0
I hate this app.,0
Highly recommend this item.,1
Broken on arrival.,0
The item is terrible.,0
So happy with the performance.,1
The product is amazing.,1
Five stars!,1
I hate this item.,0
Excellent quality.,1
Do not buy this service.,0
Excellent quality.,1
Does not work.,0
Does not work.,0
Excellent quality.,1
Best app ever.,1
Great app.,1
The support is amazing.,1
Do not buy this purchase.,0
Best purchase ever.,1
Five stars!,1
Broken on arrival.,0
Incredible experience.,1
One star.,0
Best item ever.,1
Waste of money.,0
Best purchase ever.,1
Waste of money.,0
So happy with the app.,1
Best experience ever.,1
Excellent quality.,1
Worst performance ever.,0
Worst app ever.,0
Highly recommend this service.,1
Very disappointed with the purchase.,0
The interface is amazing.,1
Worst product ever.,0
The purchase is amazing.,1
I love this app!,1
Works perfectly.,1
The purchase is amazing.,1
I love this product!,1
Worst purchase ever.,0
The experience is amazing.,1
I hate this app.,0
I love this interface!,1
Excellent quality.,1
Incredible experience.,1
Incredible experience.,1
Does not work.,0
One star.,0
Incredible experience.,1
Excellent quality.,1
Best interface ever.,1
The performance is amazing.,1
Waste of money.,0
Incredible experience.,1
Great experience.,1
Worst app ever.,0
Poor quality.,0
Does not work.,0
Do not buy this experience.,0
The interface is amazing.,1
Do not buy this interface.,0
Highly recommend this support.,1
Highly recommend this quality.,1
Very disappointed with the purchase.,0
Five stars!,1
Do not buy this quality.,0
